date,close,volume,source,log_return,vodacom_era
2022-02-22,37.85,6843800,xlsx,-0.002638523958181172,pre_announcement
2022-02-23,36.6,2530300,xlsx,-0.03358273947613726,pre_announcement
2022-02-24,34.55,18336200,xlsx,-0.057640690193641785,pre_announcement
2022-02-25,35.65,10821100,xlsx,0.03134159664662613,pre_announcement
2022-02-28,35.95,11298700,xlsx,0.008379937306750917,pre_announcement
2022-03-01,36.15,1549700,xlsx,0.005547864437717963,pre_announcement
2022-03-02,37.0,10535600,xlsx,0.023240964039450886,pre_announcement
2022-03-03,37.5,5712100,xlsx,0.01342302033214077,pre_announcement
2022-03-04,37.5,7450400,xlsx,0.0,pre_announcement
2022-03-07,36.7,1753300,xlsx,-0.02156417791584041,pre_announcement
2022-03-08,36.05,10434800,xlsx,-0.017869891329566717,pre_announcement
2022-03-09,35.1,5545700,xlsx,-0.02670573325913783,pre_announcement
2022-03-10,35.05,9826100,xlsx,-0.0014255169912211724,pre_announcement
2022-03-11,35.5,1807600,xlsx,0.01275708300077116,pre_announcement
2022-03-14,35.5,2714200,xlsx,0.0,pre_announcement
2022-03-15,35.65,3006700,xlsx,0.004216450378934825,pre_announcement
2022-03-16,35.4,5152100,xlsx,-0.007037326720576204,pre_announcement
2022-03-17,34.95,7984300,xlsx,-0.012793351459909357,pre_announcement
2022-03-18,34.5,2834500,xlsx,-0.012959144642505228,pre_announcement
2022-03-21,35.5,2363700,xlsx,0.028573372444055948,pre_announcement
2022-03-22,36.15,4567700,xlsx,0.018144252123403558,pre_announcement
2022-03-23,35.95,5695100,xlsx,-0.005547864437717867,pre_announcement
2022-03-24,35.5,2465300,xlsx,-0.012596387685685615,pre_announcement
2022-03-25,35.95,1192700,xlsx,0.012596387685685566,pre_announcement
2022-03-28,35.4,4134200,xlsx,-0.015417264027327054,pre_announcement
2022-03-29,35.4,1759300,xlsx,0.0,pre_announcement
2022-03-30,35.05,4293000,xlsx,-0.009936206659129719,pre_announcement
2022-03-31,34.15,6621600,xlsx,-0.026013027463799986,pre_announcement
2022-04-01,34.5,12740700,xlsx,0.010196738020515085,pre_announcement
2022-04-04,35.35,3006000,xlsx,0.024339068305267622,pre_announcement
2022-04-05,35.45,2668200,xlsx,0.0028248606355548407,pre_announcement
2022-04-06,35.1,2546600,xlsx,-0.009922122506316364,pre_announcement
2022-04-07,35.05,4939800,xlsx,-0.0014255169912211724,pre_announcement
2022-04-08,35.0,1899000,xlsx,-0.001427551991185335,pre_announcement
2022-04-11,34.1,654600,xlsx,-0.02605067719994255,pre_announcement
2022-04-12,34.7,16427400,xlsx,0.017442302663342388,pre_announcement
2022-04-13,35.45,9471400,xlsx,0.021383566025323042,pre_announcement
2022-04-14,35.3,942000,xlsx,-0.004240289038885639,pre_announcement
2022-04-19,35.0,16557300,xlsx,-0.008534902449837331,pre_announcement
2022-04-20,35.05,2113100,xlsx,0.0014275519911853237,pre_announcement
2022-04-21,34.75,15472200,xlsx,-0.008596041469797908,pre_announcement
2022-04-22,34.2,2441600,xlsx,-0.015953927942241593,pre_announcement
2022-04-25,34.0,2071900,xlsx,-0.005865119452398134,pre_announcement
2022-04-26,33.85,3325700,xlsx,-0.004421525257877374,pre_announcement
2022-04-27,33.8,2155100,xlsx,-0.0014781968693110058,pre_announcement
2022-04-28,33.7,3389800,xlsx,-0.0029629651306568496,pre_announcement
2022-05-04,33.5,10003100,xlsx,-0.005952398527295385,pre_announcement
2022-05-05,32.95,382700,xlsx,-0.016554177882504413,pre_announcement
2022-05-06,32.0,19178800,xlsx,-0.02925535814878976,pre_announcement
2022-05-09,32.2,22141100,xlsx,0.006230549750636163,pre_announcement
2022-05-10,32.25,11056900,xlsx,0.00155159069141885,pre_announcement
2022-05-11,32.4,9180000,xlsx,0.00464037955650208,pre_announcement
2022-05-12,31.85,4952400,xlsx,-0.017121040780111313,pre_announcement
2022-05-13,30.2,2640500,xlsx,-0.05319545763734852,pre_announcement
2022-05-16,30.3,12643600,xlsx,0.0033057881344996315,pre_announcement
2022-05-17,30.45,5200100,xlsx,0.004938281640582577,pre_announcement
2022-05-18,29.45,6899300,xlsx,-0.033392084058310276,pre_announcement
2022-05-19,28.05,3844600,xlsx,-0.048705278128890396,pre_announcement
2022-05-20,27.8,2596200,xlsx,-0.008952611272113938,pre_announcement
2022-05-23,26.65,5713100,xlsx,-0.04224687008473792,pre_announcement
2022-05-24,26.35,20684200,xlsx,-0.011320875624482085,pre_announcement
2022-05-25,26.55,7833200,xlsx,0.007561472700576488,pre_announcement
2022-05-26,26.85,15557000,xlsx,0.01123607326692597,pre_announcement
2022-05-27,26.45,5134300,xlsx,-0.015009662650565402,pre_announcement
2022-05-30,26.25,2565300,xlsx,-0.0075901692666755964,pre_announcement
2022-05-31,26.0,20079900,xlsx,-0.009569451016150672,pre_announcement
2022-06-02,26.0,7618600,xlsx,0.0,pre_announcement
2022-06-03,26.2,7264000,xlsx,0.007662872745569097,pre_announcement
2022-06-06,26.35,5323200,xlsx,0.005708864220320201,pre_announcement
2022-06-07,26.4,10187100,xlsx,0.0018957351648989757,pre_announcement
2022-06-08,26.45,10383400,xlsx,0.0018921481520379623,pre_announcement
2022-06-09,26.6,11001700,xlsx,0.0056550574833450565,pre_announcement
2022-06-10,26.7,12130500,xlsx,0.003752349618550372,pre_announcement
2022-06-13,26.5,16953300,xlsx,-0.00751883241402734,pre_announcement
2022-06-14,26.35,5509800,xlsx,-0.005676458004805191,pre_announcement
2022-06-15,25.7,18507900,xlsx,-0.024977283086197323,pre_announcement
2022-06-16,25.05,4425700,xlsx,-0.025617164370300215,pre_announcement
2022-06-17,24.3,18296800,xlsx,-0.030397477184371045,pre_announcement
